isoform_id	category	E1	E2	E3
1	full-splice_match	1.0	1.0	0.0
2	novel_not_in_catalog	1.0	0.0	0.0
3	novel_not_in_catalog	1.0	1.0	1.0
4	novel_in_catalog	1.0	1.0	1.0
5	novel_not_in_catalog	1.0	1.0	1.0
6	novel_not_in_catalog	1.0	0.0	1.0
7	novel_not_in_catalog	1.0	0.0	0.0
8	novel_not_in_catalog	1.0	1.0	0.0
9	novel_not_in_catalog	1.0	0.0	0.0
10	full-splice_match	1.0	1.0	1.0
11	novel_in_catalog	1.0	0.0	1.0
12	incomplete-splice_match	1.0	1.0	0.0
13	novel_not_in_catalog	1.0	0.0	0.0
14	novel_not_in_catalog	1.0	0.0	0.0
15	novel_not_in_catalog	1.0	1.0	0.0
16	full-splice_match	1.0	1.0	1.0
17	novel_not_in_catalog	1.0	1.0	1.0
18	incomplete-splice_match	1.0	0.0	0.0
19	incomplete-splice_match	1.0	0.0	0.0
20	full-splice_match	1.0	1.0	1.0
21	full-splice_match	1.0	0.0	1.0
22	novel_not_in_catalog	1.0	0.0	0.0
23	full-splice_match	1.0	1.0	1.0
24	novel_in_catalog	1.0	0.0	1.0
25	full-splice_match	1.0	1.0	1.0
26	novel_in_catalog	1.0	0.0	0.0
27	incomplete-splice_match	1.0	0.0	0.0
28	novel_not_in_catalog	1.0	1.0	0.0
29	full-splice_match	1.0	1.0	1.0
30	full-splice_match	1.0	1.0	1.0
31	full-splice_match	1.0	1.0	1.0
32	full-splice_match	1.0	1.0	1.0
33	novel_in_catalog	1.0	1.0	1.0
34	novel_in_catalog	1.0	1.0	1.0
35	novel_not_in_catalog	1.0	0.0	0.0
36	novel_not_in_catalog	1.0	0.0	1.0
37	incomplete-splice_match	1.0	0.0	0.0
38	novel_not_in_catalog	1.0	0.0	0.0
39	full-splice_match	1.0	1.0	1.0
40	incomplete-splice_match	1.0	1.0	0.0
41	incomplete-splice_match	1.0	0.0	0.0
42	intergenic	1.0	0.0	0.0
43	novel_in_catalog	1.0	0.0	0.0
44	full-splice_match	1.0	1.0	1.0
45	full-splice_match	1.0	1.0	0.0
46	full-splice_match	1.0	0.0	0.0
47	novel_not_in_catalog	1.0	1.0	1.0
48	novel_not_in_catalog	1.0	1.0	0.0
49	novel_in_catalog	1.0	1.0	0.0
50	novel_not_in_catalog	1.0	1.0	1.0
51	novel_in_catalog	1.0	0.0	0.0
52	full-splice_match	1.0	1.0	1.0
53	novel_not_in_catalog	1.0	0.0	0.0
54	full-splice_match	1.0	1.0	0.0
55	novel_in_catalog	1.0	1.0	0.0
56	full-splice_match	1.0	1.0	1.0
57	novel_in_catalog	1.0	0.0	0.0
58	full-splice_match	1.0	0.0	1.0
59	novel_not_in_catalog	1.0	0.0	0.0
60	novel_in_catalog	1.0	0.0	0.0
61	full-splice_match	1.0	1.0	1.0
62	incomplete-splice_match	1.0	0.0	0.0
63	full-splice_match	1.0	0.0	0.0
64	full-splice_match	1.0	1.0	1.0
65	incomplete-splice_match	1.0	1.0	1.0
