	E1	E3
1	7.0	0.0
2	107.0	0.0
3	2.0	18.0
4	18.0	16.0
5	27.0	17.0
6	4.0	14.0
7	3.0	0.0
8	4.0	0.0
9	4.0	0.0
10	259.0	390.0
11	2.0	4.0
12	2.0	0.0
13	2.0	0.0
14	3.0	0.0
15	2.0	0.0
16	2.0	4.0
17	7.0	7.0
18	3.0	0.0
19	154.0	0.0
20	4.0	192.0
21	3.0	5.0
22	19.0	0.0
23	90.0	128.0
24	4.0	6.0
25	119.0	113.0
26	4.0	0.0
27	2.0	0.0
28	2.0	0.0
29	5.0	3.0
30	30.0	38.0
31	3.0	2.0
32	380.0	448.0
33	2.0	5.0
34	47.0	30.0
35	2.0	0.0
36	4.0	3.0
37	6.0	0.0
38	2.0	0.0
39	89.0	62.0
40	2.0	0.0
41	6.0	0.0
42	11.0	0.0
43	3.0	0.0
44	6.0	9.0
45	17.0	0.0
46	2.0	0.0
47	5.0	3.0
48	2.0	0.0
49	3.0	0.0
50	7.0	3.0
51	2.0	0.0
52	88.0	33.0
53	2.0	0.0
54	4.0	0.0
55	681.0	0.0
56	23.0	2.0
57	2.0	0.0
58	4.0	16.0
59	2.0	0.0
60	2.0	0.0
61	75.0	61.0
62	2.0	0.0
63	2.0	0.0
64	14.0	57.0
65	107.0	9.0
66	5.0	0.0
67	20.0	47.0
68	2.0	0.0
69	2.0	32.0
70	70.0	9.0
71	2.0	0.0
72	5.0	0.0
73	4.0	0.0
74	2.0	0.0
75	466.0	662.0
76	2.0	0.0
77	6.0	18.0
78	2.0	0.0
79	2.0	0.0
80	3.0	0.0
81	122.0	88.0
82	2.0	0.0
83	4.0	0.0
84	10.0	11.0
85	30.0	0.0
86	443.0	461.0
87	38.0	36.0
88	26.0	70.0
89	4.0	0.0
90	4.0	0.0
91	3.0	0.0
92	5.0	3.0
93	2.0	0.0
94	6.0	0.0
95	2.0	0.0
96	2.0	0.0
97	16.0	0.0
98	3.0	0.0
99	222.0	410.0
100	54.0	0.0
101	118.0	138.0
102	3.0	4.0
103	8.0	9.0
104	109.0	80.0
105	2.0	0.0
106	4.0	0.0
107	4.0	2.0
108	3.0	5.0
109	3.0	0.0
110	4.0	16.0
111	6.0	2.0
112	7.0	0.0
113	26.0	28.0
114	30.0	29.0
115	3.0	3.0
116	8.0	0.0
117	24.0	26.0
118	2.0	0.0
119	3.0	13.0
120	3.0	0.0
121	10.0	2.0
122	2.0	0.0
123	3.0	0.0
124	3.0	2.0
125	8.0	0.0
126	2.0	0.0
127	3.0	0.0
128	3.0	0.0
129	3.0	0.0
130	2.0	7.0
131	3.0	0.0
132	24.0	38.0
133	53.0	66.0
134	2.0	18.0
135	3.0	3.0
136	2.0	0.0
137	6.0	2.0
138	2.0	0.0
139	2.0	0.0
140	17.0	11.0
141	2.0	0.0
142	2.0	0.0
143	2.0	0.0
144	3.0	0.0
145	2.0	0.0
146	8.0	2.0
147	2.0	0.0
148	3.0	2.0
149	43.0	62.0
150	66.0	56.0
151	2.0	0.0
152	2.0	0.0
153	4.0	5.0
154	4.0	11.0
155	2.0	0.0
156	7.0	0.0
157	2.0	0.0
158	2.0	2.0
159	6.0	4.0
160	2.0	0.0
161	2.0	0.0
162	4.0	2.0
163	2.0	0.0
164	2.0	4.0
165	84.0	185.0
166	3.0	3.0
167	2.0	0.0
168	2.0	0.0
169	2.0	0.0
170	9.0	26.0
171	125.0	66.0
172	30.0	14.0
173	3.0	0.0
174	154.0	162.0
175	11.0	40.0
176	2.0	42.0
177	3.0	2.0
178	234.0	220.0
179	12.0	12.0
180	5.0	5.0
181	5.0	16.0
182	2.0	0.0
183	21.0	153.0
184	2.0	5.0
185	6.0	13.0
186	2.0	0.0
187	20.0	18.0
188	6.0	2.0
189	2.0	0.0
190	4.0	9.0
191	5.0	2.0
192	39.0	29.0
193	579.0	814.0
194	3.0	14.0
195	2.0	0.0
196	4.0	0.0
197	2.0	2.0
198	36.0	18.0
199	2.0	0.0
200	2.0	2.0
201	10.0	33.0
202	10.0	37.0
203	3.0	12.0
204	104.0	27.0
205	20.0	5.0
206	2.0	0.0
207	29.0	33.0
208	4.0	2.0
209	12.0	21.0
210	5.0	3.0
211	3.0	0.0
212	5.0	17.0
213	2.0	0.0
214	6.0	25.0
215	3.0	13.0
216	2.0	7.0
217	6.0	4.0
218	20.0	41.0
219	15.0	27.0
220	7.0	7.0
221	66.0	111.0
222	5.0	7.0
223	2.0	3.0
224	7.0	14.0
225	3.0	11.0
226	54.0	84.0
227	8.0	15.0
228	4.0	4.0
229	2.0	9.0
230	2.0	0.0
231	2.0	4.0
232	6.0	0.0
233	2.0	0.0
234	10.0	0.0
235	2.0	0.0
236	9.0	2.0
237	22.0	30.0
238	2.0	0.0
239	17.0	12.0
240	12.0	25.0
241	20.0	7.0
242	5.0	3.0
243	5.0	3.0
244	86.0	150.0
245	20.0	8.0
246	2.0	0.0
247	46.0	0.0
248	530.0	851.0
249	2.0	2.0
250	3.0	0.0
251	3.0	3.0
252	28.0	18.0
253	2.0	2.0
254	2.0	4.0
255	51.0	50.0
256	2.0	3.0
257	659.0	970.0
258	3.0	0.0
259	3.0	0.0
260	147.0	463.0
261	8.0	5.0
262	2.0	5.0
263	4.0	2.0
264	2.0	0.0
265	4.0	6.0
266	2.0	5.0
267	29.0	10.0
268	284.0	2.0
269	3.0	4.0
270	268.0	273.0
271	15.0	12.0
272	5.0	7.0
273	2.0	7.0
274	2.0	3.0
275	6.0	0.0
276	2.0	0.0
277	8.0	6.0
278	2.0	6.0
279	2.0	0.0
280	5.0	8.0
281	2.0	0.0
282	2.0	0.0
283	45.0	111.0
284	3.0	6.0
285	2.0	3.0
286	106.0	155.0
287	3.0	6.0
288	4.0	0.0
289	2.0	0.0
290	14.0	15.0
291	221.0	302.0
292	4.0	0.0
293	13.0	15.0
294	16.0	8.0
295	4.0	0.0
296	2.0	13.0
297	2.0	0.0
298	112.0	211.0
299	2.0	0.0
300	2.0	0.0
301	148.0	266.0
302	7.0	5.0
303	3.0	5.0
304	3.0	4.0
305	9.0	24.0
306	51.0	91.0
307	4.0	0.0
308	3.0	0.0
309	26.0	2.0
310	4.0	0.0
311	4.0	19.0
312	16.0	29.0
313	9.0	2.0
314	22.0	0.0
315	2.0	2.0
316	2.0	0.0
317	2.0	0.0
318	3.0	0.0
319	4.0	0.0
320	1662.0	2586.0
321	130.0	120.0
322	5.0	5.0
323	14.0	25.0
324	2.0	3.0
325	2.0	0.0
326	3.0	0.0
327	36.0	39.0
328	9.0	4.0
329	2.0	0.0
330	314.0	270.0
331	3.0	0.0
332	3.0	0.0
333	3.0	0.0
334	18.0	3.0
335	11.0	6.0
336	63.0	45.0
337	2.0	2.0
338	58.0	60.0
339	23.0	0.0
340	5.0	7.0
341	247.0	129.0
342	5.0	0.0
343	2.0	0.0
344	2.0	0.0
345	7.0	0.0
346	98.0	84.0
347	226.0	77.0
348	5.0	0.0
349	16.0	0.0
