gene	COUNT(id)
PCM1	128
MYH9	119
TRIP12	103
SIPA1L1	102
SORL1	100
NLRC5	96
NCOA3	94
WDFY4	93
ST6GAL1	93
CD22	93
CNOT1	90
DOCK8	89
ARHGEF7	88
MBNL1	86
PPP6R3	85
MATR3	83
EIF4G1	83
TMEM131L	83
EIF4A2	82
ZC3H11A	80
FANCI	79
DOCK2	79
MEF2C	79
CDC42SE2	79
PLXNB2	78
PTK2B	77
STIL	76
HDLBP	76
UBAP2L	75
EPS15	74
SEPTIN2	74
MAP4	74
EHMT1	72
EIF4G2	72
AKNA	71
MADD	71
IARS1	70
SEC31A	67
STAT1	65
FOCAD	65
DDX5	64
BAG6	62
TBC1D5	62
PLCG2	61
SEC16A	61
SMG7	61
GIGYF2	61
MX1	60
HNRNPA2B1	60
GTF2I	60
SUPT20H	60
R3HDM1	59
BRD2	59
ADCY7	58
PUM2	58
SS18	57
CELF1	57
TMC6	56
TNFAIP3	56
MYO1G	56
NUMA1	55
ADAR	55
ZNF266	55
TENT2	55
HTT	54
NCL	54
IRF5	54
NUP98	53
SEC24C	52
SEC14L1	52
LCP1	52
HNRNPK	52
CANX	51
HYOU1	51
ENTPD1	51
SUN1	51
VEZT	50
CIITA	50
FLNA	50
TFRC	50
SYVN1	50
GBF1	50
BAZ2A	49
ILF3	49
PUM1	49
FUT8	49
SPTBN1	49
LILRB1	48
SF3B3	48
KIAA0586	48
NIN	48
PPP4R3B	47
ATP2C1	47
TNIP1	47
NCAPG2	47
NT5C2	47
SEPTIN9	47
ITGAL	46
XPO1	46
DCAF17	46
THADA	46
UBAP2	46
NIPA2	46
SYNRG	45
TYK2	45
PIK3R6	45
LY75	45
CELF2	45
SRRM1	44
PTPN6	44
CHD8	44
OSBPL9	44
CLTC	44
SEMA4D	44
RFFL	43
HDAC9	43
SPTAN1	43
PTPRC	43
HNRNPC	43
MBD1	43
SLC30A6	43
ZNF638	43
ANAPC1	42
MELK	42
GAPVD1	42
PAM	42
PSD4	42
AKAP13	42
MEF2A	42
DAPK1	41
PRRC2A	41
CARD8	41
KTN1	41
IKZF1	41
GPCPD1	41
ARAP1	41
CYFIP2	41
RABGAP1L	41
SMC4	41
IRAG2	40
PIK3AP1	40
STAG2	40
SIDT1	40
WIPF1	40
DGKD	40
ZMYND8	40
TCF12	39
SLC7A6	39
INPP5D	39
MED15	39
RB1	39
IRF8	39
NCALD	39
KIAA1217	39
MOB3A	39
TCOF1	39
PIGN	39
OPA1	39
HPS4	39
SIN3A	39
CFLAR	39
ZZZ3	38
ZBTB38	38
CCNL1	38
PAPOLA	38
RNF213	38
HSPA5	38
ACIN1	37
DDX3X	37
RBM33	37
CDK17	37
GAK	37
RASGRP3	37
UBA1	37
UTY	37
RAD17	37
ZMYM2	37
SP140	37
ICE2	37
PABPC1	37
DST	37
ADPGK	36
CABIN1	36
TMEM94	36
SENP6	36
AHRR	36
EWSR1	36
PPIP5K2	36
RABEP1	36
SH3TC1	36
DHX30	35
CLEC16A	35
CSE1L	35
RACGAP1	35
AGTPBP1	35
WASHC4	35
IRF4	35
UBE3B	35
TAPBP	35
YEATS2	35
FANCD2	35
GIT2	35
KCNAB2	35
OAS3	35
LARP4	35
NLRP1	35
BIRC6	35
NUMB	35
GPBP1L1	35
IL21R	35
DENND3	34
LBR	34
PIP5K1A	34
ATF2	34
NUP214	34
MSN	34
NEDD1	34
TM9SF4	34
ODF2	34
CYLD	34
HSP90B1	34
LRPPRC	34
SREBF2	34
CDK14	33
NBR1	33
PTPN22	33
KANSL3	33
IFI16	33
ARHGEF2	33
MYO1E	33
HUWE1	33
TTLL5	33
DCAF1	33
SF1	33
PARP4	33
ZNF45	33
SLMAP	33
SUGP2	33
SPG11	33
ATF7IP	33
COPA	32
CORO1A	32
USP28	32
SPIDR	32
SEMA4A	32
SP100	32
CAPRIN1	32
IL16	32
CNOT8	32
PDK1	32
BMF	32
ALPK1	32
PRPF8	32
DGLUCY	32
NUP155	32
NNT	32
BRCA1	32
MTHFD1	32
WASHC2C	32
PPP6R2	32
WARS1	32
SMARCAD1	32
STAG1	32
SMARCA2	32
SHLD2	31
CEP250	31
GCN1	31
CCAR1	31
COPB1	31
EPB41L2	31
DDX39A	31
HLA-A	31
MS4A1	31
CAD	31
EDC4	31
TPP2	31
EP400	31
SLC38A1	31
RNF19A	31
SETD5	31
NEDD9	31
PTBP3	31
COPB2	31
MPHOSPH9	31
ARHGAP17	31
LARS1	31
RBM39	31
ZCCHC7	31
SYNE2	31
AMBRA1	30
ELF1	30
MTMR2	30
PFKL	30
TCIRG1	30
STAT3	30
TNFRSF19	30
HMGCR	30
HK1	30
MARCHF7	30
VCP	30
TTC3	30
MAP3K4	30
ECPAS	30
PREPL	30
CTNNB1	30
NAT10	30
CAST	30
FAM111A	30
ATF7IP2	30
CHFR	30
XPOT	30
NUP188	30
NUP153	30
CKAP5	30
USP48	30
RAF1	29
TMC8	29
TRERF1	29
SGMS1	29
P2RY8	29
IQGAP1	29
NCOA2	29
NEK6	29
PPIP5K1	29
CMTR1	29
CEP192	29
CLCC1	29
PHF3	29
SGSM3	29
IFI44L	29
CBLB	29
HP1BP3	29
POLA1	29
UBE3A	29
HNRNPH1	29
KDM3A	29
DCAF6	29
NUP205	29
USP10	29
ATP8A1	29
VIRMA	29
NSUN2	29
SF3B1	28
STAU1	28
NF1	28
TNPO3	28
ESYT1	28
KLC1	28
GLYR1	28
ZMIZ1	28
G3BP2	28
DDX3Y	28
GART	28
PARPBP	28
FNDC3A	28
SKIV2L	28
DMTF1	28
CYBC1	28
ABCC4	28
P4HA1	28
GPAT2	28
APBB2	28
KNTC1	28
AZIN1	28
SRSF5	28
ELMO1	28
FBXW2	27
MSL3	27
NAXD	27
MINK1	27
ANKRD10	27
SNX14	27
SMC2	27
PRC1	27
PHF8	27
SYMPK	27
ARHGEF1	27
STK38L	27
SUPT6H	27
RNF111	27
UCHL5	27
FCHSD2	27
ERAP1	27
CORO1C	27
NBPF15	27
TAP1	27
MCTP1	27
API5	26
SLC43A3	26
SP3	26
EMSY	26
CSDE1	26
FCRL5	26
ATE1	26
PFAS	26
NCKAP1L	26
WWP2	26
PDCD4	26
GATAD2A	26
PAK1	26
PFKFB4	26
UHRF1	26
JADE2	26
ACAD10	26
TRPM7	26
PLK4	26
MCTP2	26
STAU2	26
NCAPD2	26
NRDC	26
USP19	26
TP63	26
UBE4B	26
MRPS27	26
POGZ	26
OGT	26
PI4KB	26
ZDHHC20	26
NBPF9	26
AP2B1	26
TXNRD1	26
SEC24B	26
CTC1	26
USP9X	26
SLC17A9	26
ITGA4	25
SRSF7	25
PHKB	25
SP110	25
SRSF11	25
SCMH1	25
ACTG1	25
VPS13B	25
UGGT1	25
MTMR3	25
PDXDC1	25
LRBA	25
FASTKD1	25
HNRNPR	25
HNRNPA1	25
SLFN13	25
PRPF40A	25
ARNT	25
TRPC4AP	25
CD53	25
TRRAP	25
NCOR1	25
SNX29	25
CLDND1	25
CPSF1	25
MON2	25
IDS	25
RNF10	25
FAM135A	25
CRTC3	25
DOCK10	25
NAP1L4	25
ANKRD28	25
BUB1	25
IPCEF1	25
MRTFA	25
WASHC2A	25
MAGED1	25
CDC27	25
XPNPEP1	25
SPECC1L	25
NEK9	24
CHD3	24
PCBP2	24
VPS39	24
RNF44	24
NFATC3	24
ARHGEF6	24
RNF40	24
CAMTA2	24
POLR2A	24
SLC25A36	24
YWHAZ	24
AREL1	24
INTS7	24
RANBP2	24
LMO7	24
DMXL1	24
HECW2	24
IPO5	24
EPB41	24
SPAG5	24
TRAC	24
IFNAR2	24
SNRNP200	24
ANKHD1	24
SND1	24
TAOK3	24
ATP10D	24
MMS19	24
NSD2	24
KPNB1	24
GPBP1	24
SEC23IP	24
RAD54L2	24
NONO	24
AVL9	24
RCBTB2	24
CLASP2	24
OSBPL3	24
SMARCA5	24
CHD9	24
KRIT1	24
FOXN2	24
TLK1	24
ASCC2	24
ASCC3	24
DENND4A	24
HPS1	24
IRF7	24
SH3KBP1	24
ADIPOR2	24
POLK	24
PRDM15	24
KDM5C	24
KDM6A	24
ZNF544	24
UBR5	24
ESPL1	23
MOV10	23
HSP90AB1	23
SSH2	23
ERI2	23
SMG5	23
CPSF7	23
MCOLN2	23
RAD21	23
HERC1	23
TNFRSF10B	23
BCOR	23
PLCG1	23
ZC3H7A	23
NFE2L1	23
SEC24A	23
AFF1	23
TXLNA	23
RRM2	23
FBXL5	23
TUT4	23
CHD4	23
TRAF3IP3	23
MYO9B	23
PTPN7	23
IVNS1ABP	23
ITPR2	23
ATG13	23
PGK1	23
MGRN1	23
SLC39A9	23
