category	COUNT(i.category)	exp	Total	Proportion
antisense	35	1	39747	0.0008805696027373135
full-splice_match	15680	1	39747	0.39449518202631645
fusion	313	1	39747	0.007874808161622261
genic	3	1	39747	7.547739452034116e-05
incomplete-splice_match	4383	1	39747	0.11027247339421843
intergenic	80	1	39747	0.0020127305205424307
novel_in_catalog	11269	1	39747	0.2835182529499082
novel_not_in_catalog	7984	1	39747	0.20087050595013461
antisense	71	2	46743	0.0015189440130072953
full-splice_match	16186	2	46743	0.3462764478103673
fusion	382	2	46743	0.008172346661532208
genic	4	2	46743	8.557431059196029e-05
incomplete-splice_match	4720	2	46743	0.10097768649851314
intergenic	119	2	46743	0.0025458357401108187
novel_in_catalog	14694	2	46743	0.31435722995956616
novel_not_in_catalog	10567	2	46743	0.22606593500631111
antisense	74	3	44134	0.0016767118321475507
full-splice_match	15362	3	44134	0.3480763130466307
fusion	333	3	44134	0.007545203244663978
genic	4	3	44134	9.063307200797571e-05
incomplete-splice_match	4191	3	44134	0.09496080119635655
intergenic	140	3	44134	0.0031721575202791497
novel_in_catalog	13812	3	44134	0.31295599764354015
novel_not_in_catalog	10218	3	44134	0.23152218244437395
