category	SUM(c.read_count)	exp	Total	Proportion
antisense	113	1	1712702	6.597761899034391e-05
full-splice_match	1442985	1	1712702	0.8425195976883311
fusion	9889	1	1712702	0.005773917470756734
genic	8	1	1712702	4.670981875422578e-06
incomplete-splice_match	46651	1	1712702	0.027238246933792336
intergenic	848	1	1712702	0.0004951240787947933
novel_in_catalog	121564	1	1712702	0.07097790508798378
novel_not_in_catalog	90644	1	1712702	0.05292456013947552
antisense	263	2	1923990	0.0001366950971678647
full-splice_match	1581784	2	1923990	0.8221373291960977
fusion	10972	2	1923990	0.005702732342683694
genic	74	2	1923990	3.846173836662353e-05
incomplete-splice_match	52897	2	1923990	0.027493386140260603
intergenic	1097	2	1923990	0.0005701692836241353
novel_in_catalog	157543	2	1923990	0.08188348172287797
novel_not_in_catalog	119360	2	1923990	0.06203774447892141
antisense	509	3	1920346	0.0002650564012943501
full-splice_match	1568137	3	1920346	0.8165908643546528
fusion	15811	3	1920346	0.00823341210386045
genic	8	3	1920346	4.165915933899412e-06
incomplete-splice_match	46657	3	1920346	0.02429614246599311
intergenic	1627	3	1920346	0.0008472431530567928
novel_in_catalog	182454	3	1920346	0.09501100322546041
novel_not_in_catalog	105143	3	1920346	0.05475211237974823
