isoform_id	COUNT(ends_id)
22567	45
28729	39
31606	37
1812	35
21887	34
27947	33
27263	33
8995	33
6109	33
31119	32
8940	31
22482	31
29636	31
6112	31
11394	30
2256	30
28146	30
27855	30
21341	30
29986	29
28883	29
11867	28
39139	28
28980	28
9032	28
8233	28
1815	28
36046	28
33338	27
25608	27
30607	27
21433	27
8746	27
11826	27
30217	26
30820	26
37661	26
37530	26
6771	26
37850	26
7830	26
33881	26
28959	25
28158	25
28160	25
5946	25
22307	25
28897	25
22498	25
2131	25
22454	25
31118	25
36137	25
4966	24
28712	24
27745	24
15016	24
33034	24
30237	24
36408	24
2117	24
5442	24
10041	24
28295	24
22456	24
12864	24
11277	24
30278	24
11954	24
32909	24
11340	23
12671	23
30917	23
34837	23
15084	23
28162	23
13073	23
9433	23
28568	23
36024	23
29424	23
31604	23
35440	22
3721	22
17849	22
1814	22
12399	22
33369	22
5869	22
23807	22
30449	22
27475	22
30249	22
22442	22
2502	22
10627	22
31249	22
22609	22
21367	22
34596	21
3769	21
9345	21
27155	21
22771	21
10170	21
20712	21
32961	21
32835	21
2009	21
29193	21
7460	21
26869	21
36940	21
37171	21
3607	21
10528	21
3617	21
22435	21
36851	21
6467	21
20118	20
31775	20
13476	20
7553	20
9629	20
35346	20
28245	20
17606	20
5085	20
1622	20
20557	20
12742	20
11097	20
19010	20
34860	20
1813	20
10179	20
28365	20
28156	20
4860	20
193	20
38494	20
12870	20
25922	20
4233	20
21944	20
23601	20
12804	20
15934	20
3256	19
28845	19
23994	19
11582	19
9602	19
2710	19
9085	19
29268	19
26848	19
26965	19
8286	19
30586	19
7238	19
32537	19
22782	19
320	19
32993	19
28674	19
28157	19
38424	19
7475	19
33916	19
4067	19
34230	19
16148	19
3708	19
4900	19
30068	19
38564	19
4532	19
4009	19
6102	19
34568	19
16237	19
28543	19
36967	19
34865	19
23747	19
35421	19
30205	18
25562	18
37004	18
33917	18
22656	18
484	18
23232	18
31210	18
5454	18
5389	18
21189	18
30405	18
30936	18
11192	18
6062	18
34540	18
20829	18
30074	18
3944	18
30555	18
33022	18
30490	18
31471	18
8698	18
27468	18
22129	18
15121	18
27552	18
26986	18
29195	18
30465	18
17336	18
15390	18
11777	18
36426	18
2339	18
4965	18
23404	18
29304	18
6035	18
32768	18
16341	18
27116	18
36012	18
515	18
20819	18
34593	18
30562	18
13645	17
23501	17
10493	17
20337	17
8257	17
16884	17
21833	17
17621	17
9161	17
30031	17
28282	17
37609	17
12677	17
10583	17
8064	17
10904	17
35071	17
14264	17
35827	17
5976	17
29447	17
3391	17
1878	17
38531	17
38885	17
2484	17
7446	17
21311	17
400	17
11329	17
1851	17
11586	17
10436	17
3634	17
34235	17
20729	17
22186	17
30557	17
36582	17
38755	17
16223	16
29146	16
22603	16
15544	16
12559	16
38592	16
29150	16
22674	16
388	16
28559	16
36432	16
35411	16
5412	16
3251	16
22740	16
39092	16
36096	16
6016	16
36095	16
37670	16
1520	16
39347	16
34541	16
26237	16
3429	16
14680	16
27590	16
1557	16
21301	16
4251	16
1588	16
480	16
13388	16
28667	16
12055	16
25750	16
10594	16
2353	16
17176	16
30865	16
9022	16
4544	16
8528	16
32308	16
17314	16
30069	16
1826	16
27742	16
8296	16
20638	16
23892	16
5159	16
25561	16
5162	16
30086	16
30542	16
23524	16
8389	16
27438	16
27444	16
12794	16
5586	16
27467	16
1988	16
27779	16
13319	16
11294	16
16513	16
35770	16
8586	16
291	15
36391	15
18268	15
37855	15
35157	15
22735	15
29997	15
24755	15
21794	15
10351	15
11865	15
31726	15
30701	15
1461	15
1097	15
11300	15
29064	15
8930	15
16515	15
15391	15
12743	15
27122	15
2622	15
2421	15
27264	15
1866	15
5898	15
10405	15
24992	15
27447	15
28576	15
12938	15
17448	15
34869	15
16040	15
4211	15
2002	15
17977	15
7457	15
37613	15
29869	15
36504	15
35309	15
30350	15
22630	15
36077	15
21223	15
36451	15
1931	15
27068	15
17925	15
11517	15
37619	15
20656	15
22194	15
27088	15
30839	15
11299	15
34414	15
8012	15
13061	15
13783	15
34919	15
20887	15
10204	15
7273	15
37881	15
5529	15
27686	15
5459	15
4542	15
20863	15
30801	15
30677	15
34798	15
35033	15
5005	15
22349	15
28738	15
7337	15
11258	15
283	15
21553	15
16995	15
17375	15
8958	15
17149	15
12937	15
34602	15
33919	15
18034	15
24990	15
12926	15
8938	15
12072	14
659	14
30493	14
6472	14
36526	14
37552	14
22133	14
12141	14
30551	14
22041	14
33195	14
10201	14
29425	14
38185	14
22145	14
29348	14
22444	14
8140	14
10156	14
3420	14
4159	14
21721	14
4208	14
21892	14
30913	14
30585	14
28949	14
24488	14
12423	14
3751	14
9415	14
3413	14
3707	14
13351	14
