gene	COUNT(id)
PCM1	213
MBNL1	196
PPP6R3	195
NCOA3	195
MATR3	194
IKZF1	184
ZC3H11A	180
MEF2C	177
TRIP12	176
OPA1	173
STAT1	172
EPS15	171
ATP2C1	171
MYH9	170
MAP4	168
SEC31A	167
CANX	164
CNOT1	162
GTF2I	161
HNRNPK	158
HNRNPC	154
ST6GAL1	151
WDFY4	151
SORL1	150
CDC42SE2	150
ARHGEF7	150
EHMT1	148
HDLBP	148
TENT2	144
FANCI	142
SEPTIN2	136
DOCK8	135
PPP4R3B	135
PUM2	132
NIPA2	130
PTK2B	130
IARS1	127
ADAR	127
EIF4G1	127
DOCK2	125
CD22	122
SIPA1L1	121
TNFAIP3	120
TBC1D5	120
ZBTB38	120
HNRNPA2B1	119
CAST	119
SERBP1	119
TMEM131L	119
MBD1	118
STAG2	117
PTBP3	117
G3BP2	116
NLRC5	115
HMGCR	114
UBAP2L	113
SUPT20H	111
CAPRIN1	111
VEZT	110
SF3B3	110
OSBPL9	109
GPBP1L1	109
EIF4G2	107
IL21R	107
BAG6	106
PIK3AP1	105
MX1	104
EIF4A2	104
NUP98	104
SMG7	104
NEK6	103
PLXNB2	103
ENTPD1	103
SEC16A	102
PIGN	102
PPP1CB	100
CSNK1A1	100
PLCG2	100
AKNA	99
SS18	98
MS4A1	97
YWHAZ	96
IRF5	96
SLC30A6	96
ADCY7	96
MADD	96
CLTC	96
PTPRC	95
NT5C2	95
FUT8	94
TLR10	94
DROSHA	93
CYLD	93
SIN3A	93
FOCAD	93
PAPOLA	93
NCL	93
XPO1	92
NNT	92
BRD2	92
STIL	92
NCAPG2	92
GIGYF2	91
ILF3	91
LY75	91
STK38L	90
RASGRP3	90
NUMA1	89
WIPF1	89
BAZ2A	88
AP2B1	88
MON2	88
ATP8A1	88
INTS7	87
ICE2	87
SPTBN1	87
UBE2D3	87
NBR1	87
TNIP1	86
CHD8	86
FIP1L1	85
OSBPL3	85
MPHOSPH9	85
KTN1	85
RABEP1	85
PREPL	85
GPCPD1	84
MYO1G	84
DDX5	84
LRPPRC	84
AZIN1	84
MARCHF7	84
ZNF266	84
KIAA0586	84
RABGAP1L	84
ARHGAP11A	83
PDCD4	83
COPA	82
MTMR2	82
TMC6	82
SEC24C	81
SEMA4D	81
SGMS1	81
EWSR1	81
TACC1	81
GIT2	81
ITGA4	80
LARP4	80
CELF1	80
UGGT1	80
SREBF2	80
ELF1	80
PAM	80
MEF2A	80
HP1BP3	80
RFFL	79
STAU2	79
R3HDM1	79
DCAF17	79
TCF12	79
UBAP2	79
IL16	78
ZZZ3	78
NUMB	78
CIITA	78
DAPK1	78
LCP1	78
TFRC	78
RBM39	78
SYNRG	77
ZMYM2	77
PPIP5K2	77
PGK1	77
STAU1	77
SYNCRIP	77
LARS1	77
PTPN22	76
GPBP1	76
KIAA1217	76
IKZF2	76
ARNT	76
RBM33	76
CSE1L	76
SLC38A1	76
COPB2	75
CSDE1	75
RB1	75
ANAPC1	75
CARD8	74
PABPC1	74
SENP6	74
SEPTIN9	74
SUN1	74
NEDD1	74
LBR	74
NIN	74
TAPBP	73
TPP2	73
UCHL5	73
ATF2	73
SLFN13	73
VCP	73
CELF2	73
SLC7A6	73
PCGF5	73
PCBP2	72
WASHC4	72
IDS	72
IVNS1ABP	72
SP100	72
SRRM1	72
GAPVD1	72
TLK1	71
PDK1	71
HTT	71
ODF2	70
PSD4	70
FNDC3A	70
MCM4	70
ANXA6	70
KPNA1	69
RNF19A	69
HSPA5	69
WARS1	69
NFE2L1	69
HNRNPA3	69
STAT3	69
CAMK2D	69
ITGAL	69
LILRB1	68
PI4KB	68
ZMIZ1	68
DDHD1	68
PIK3R6	68
SEC14L1	68
TYK2	68
ABI1	68
PTPN6	68
TCOF1	68
USP28	68
ARMC8	67
SMC4	67
CYREN	67
MELK	67
NCALD	66
HPS4	66
PHF3	66
OGT	66
YME1L1	66
SF1	66
USP48	66
HDAC9	66
FLNA	66
MOB1A	66
ARHGAP17	65
POGZ	65
CLEC16A	65
FSD1L	65
PRKAR1A	65
RAD17	65
RNF111	65
CDK17	65
MTMR3	64
ARHGAP30	64
G3BP1	64
NUP155	64
DCAF1	64
CPSF6	64
ZNF146	64
IFI44L	64
DENND3	64
DENND4A	63
ARAP1	63
ZNF107	63
IRAG2	63
MOB3A	63
HYOU1	63
ANGEL2	63
THADA	63
PARP8	63
RRM2	63
GAK	63
CBLB	62
GBF1	62
PAK1	62
CAND1	62
MCTP2	62
SYVN1	62
STAG1	62
CORO1C	62
ATF7IP	62
SLC25A36	62
STARD4	62
UTY	62
RBM12	61
TTLL5	61
SMARCA2	61
SLMAP	61
