	E1	E3
A1BG	3.0	0.0
A4GALT	45.0	15.0
AAAS	54.0	32.0
AACS	186.0	217.0
AAGAB	120.0	190.0
AAK1	4.0	2.0
AAMDC	8.0	0.0
AAMP	174.0	119.0
AAR2	187.0	202.0
AARS1	693.0	1218.0
AARS2	33.0	26.0
AARSD1	13.0	14.0
AASDH	73.0	38.0
AASDHPPT	368.0	776.0
AASS	0.0	12.0
AATBC	0.0	2.0
AATF	140.0	125.0
ABAT	12.0	56.0
ABCA12	5.0	130.0
ABCA3	0.0	2.0
ABCA5	51.0	118.0
ABCA6	26.0	56.0
ABCA7	29.0	83.0
ABCB1	3.0	8.0
ABCB10	11.0	102.0
ABCB4	6.0	9.0
ABCB6	114.0	100.0
ABCB7	140.0	119.0
ABCB8	32.0	59.0
ABCB9	5.0	0.0
ABCC1	96.0	109.0
ABCC10	30.0	50.0
ABCC4	215.0	222.0
ABCC4_ENSG00000287635	0.0	3.0
ABCC5	31.0	61.0
ABCD1	21.0	14.0
ABCD2	13.0	76.0
ABCD3	148.0	410.0
ABCD4	30.0	10.0
ABCE1	804.0	1546.0
ABCF1	193.0	317.0
ABCF2	266.0	504.0
ABCF2-H2BE1	2.0	0.0
ABCF3	79.0	97.0
ABCG1	61.0	0.0
ABHD10	19.0	56.0
ABHD11	0.0	2.0
ABHD12	64.0	30.0
ABHD13	50.0	129.0
ABHD14A	6.0	2.0
ABHD14B	71.0	43.0
ABHD16A	38.0	38.0
ABHD17B	57.0	30.0
ABHD18	5.0	4.0
ABHD2	106.0	191.0
ABHD3	46.0	42.0
ABHD4	121.0	85.0
ABHD5	2.0	14.0
ABHD6	4.0	0.0
ABHD8	10.0	4.0
ABI1	573.0	492.0
ABI1P1	2.0	0.0
ABI2	45.0	16.0
ABI3	80.0	59.0
ABITRAM	25.0	23.0
ABL1	111.0	141.0
ABR	73.0	56.0
ABRACL	93.0	36.0
ABRAXAS1	11.0	33.0
ABRAXAS2	114.0	133.0
ABT1	106.0	74.0
ABTB1	16.0	18.0
ABTB2	62.0	22.0
ACAA1	27.0	22.0
ACAA2	186.0	108.0
ACACA	53.0	158.0
ACACB	3.0	0.0
ACAD10	149.0	113.0
ACAD11	56.0	65.0
ACAD8	50.0	66.0
ACAD9	244.0	262.0
ACADM	634.0	683.0
ACADS	91.0	10.0
ACADSB	110.0	322.0
ACADVL	246.0	142.0
ACAP1	319.0	175.0
ACAP2	234.0	437.0
ACAT1	184.0	157.0
ACAT2	86.0	65.0
ACBD3	19.0	8.0
ACBD4	11.0	10.0
ACBD5	109.0	128.0
ACBD6	38.0	29.0
ACCS	2.0	4.0
ACD	44.0	25.0
ACER2	0.0	3.0
ACER2_ENSG00000260912	0.0	11.0
ACER3	14.0	45.0
ACIN1	271.0	491.0
ACKR2	0.0	2.0
ACLY	1311.0	1923.0
ACO1	165.0	276.0
ACO2	981.0	884.0
ACOT13	35.0	25.0
ACOT2	38.0	15.0
ACOT7	72.0	52.0
ACOT8	11.0	6.0
ACOT9	60.0	31.0
ACOX1	141.0	222.0
ACOX3	96.0	90.0
ACOXL_BCL2L11	13.0	0.0
ACP1	124.0	96.0
ACP2	42.0	23.0
ACP5	57.0	8.0
ACP6	12.0	17.0
ACRBP	6.0	0.0
ACSF2	25.0	9.0
ACSF3	61.0	50.0
ACSL1	731.0	734.0
ACSL3	370.0	617.0
ACSL4	711.0	518.0
ACSL5	326.0	481.0
ACSM3	35.0	6.0
ACSS1	18.0	11.0
ACSS2	44.0	16.0
ACTA2_ENSG00000286116	48.0	27.0
ACTB	52257.0	41510.0
ACTG1	11547.0	7634.0
ACTL10	0.0	2.0
ACTL6A	231.0	217.0
ACTN1	124.0	32.0
ACTN4	62.0	80.0
ACTR10	61.0	43.0
ACTR1A	207.0	284.0
ACTR1B	173.0	89.0
ACTR2	2466.0	5150.0
ACTR3	2038.0	3454.0
ACTR3-AS1	0.0	2.0
ACTR3B	2.0	0.0
ACTR5	33.0	40.0
ACTR6	60.0	29.0
ACTR8	73.0	115.0
ACVR1B	0.0	7.0
ACVR2A	0.0	4.0
ACY1	20.0	16.0
ACYP1	5.0	0.0
ADA	109.0	77.0
ADA2	414.0	511.0
ADAL	7.0	0.0
ADAM10	968.0	1431.0
ADAM15	23.0	25.0
ADAM17	76.0	115.0
ADAM19	6.0	7.0
ADAM1A	0.0	2.0
ADAM21	0.0	2.0
ADAM23	0.0	8.0
ADAM29	2.0	0.0
ADAM8	314.0	148.0
ADAM9	511.0	516.0
ADAMTS12	6.0	14.0
ADAMTS4_B4GALT3	0.0	47.0
ADAMTS7	0.0	3.0
ADAP1	15.0	5.0
ADAR	2007.0	3175.0
ADAT1	61.0	141.0
ADAT2	10.0	5.0
ADAT3	2.0	2.0
ADCK1	6.0	16.0
ADCK2	0.0	3.0
ADCK5	9.0	5.0
ADCY10P1_NFYA	0.0	31.0
ADCY3	160.0	27.0
ADCY7	508.0	357.0
ADD1	143.0	30.0
ADD2	12.0	0.0
ADD3	190.0	169.0
ADGRA3	0.0	6.0
ADGRD1	14.0	2.0
ADGRE1	0.0	25.0
ADGRE2	0.0	6.0
ADGRE5	120.0	84.0
ADGRF3	0.0	2.0
ADGRG1	17.0	0.0
ADGRG5	134.0	143.0
ADGRV1	0.0	17.0
ADH5	177.0	139.0
ADI1	34.0	36.0
ADIPOR1	258.0	161.0
ADIPOR2	420.0	682.0
ADK	148.0	174.0
ADM	9.0	0.0
ADM2	2.0	0.0
ADNP	60.0	2.0
ADNP2	0.0	22.0
ADO	12.0	38.0
ADORA2A	272.0	142.0
ADORA2A_SPECC1L	0.0	3.0
ADPGK	191.0	192.0
ADPRH	220.0	202.0
ADPRM	5.0	3.0
ADPRS	87.0	29.0
