IEJ_id	1	2	3
AAMP_22834	3.0	0.0	2.0
AAMP_52943	0.0	2.0	0.0
ABCB10_62754	0.0	0.0	2.0
ABHD5_73546	0.0	0.0	2.0
ACOX1_49806	0.0	2.0	2.0
ACOX1_69837	0.0	0.0	5.0
ACOX1_69839	0.0	0.0	4.0
ACOX1_69840	0.0	0.0	4.0
ACSL5_64849	0.0	0.0	2.0
ACTB_33785	2.0	0.0	0.0
ACTB_59285	0.0	3.0	0.0
ADA2_24889	10.0	0.0	0.0
ADA2_54086	0.0	5.0	0.0
ADA2_72954	0.0	0.0	2.0
ADAL_12617	3.0	0.0	0.0
ADAR_2927	4.0	7.0	0.0
ADAR_2934	8.0	5.0	372.0
ADAR_2942	2.0	0.0	0.0
ADAR_41389	0.0	2.0	0.0
ADAR_63800	0.0	0.0	3.0
ADCY7_14647	3.0	0.0	0.0
ADCY7_14652	3.0	0.0	0.0
ADCY7_68647	0.0	0.0	5.0
ADGRE5_70731	0.0	0.0	12.0
ADPGK_13181	2.0	0.0	0.0
ADPGK_13182	2.0	0.0	0.0
ADPGK_13190	125.0	162.0	0.0
ADPGK_47396	0.0	8.0	0.0
ADPGK_47403	0.0	2.0	2.0
ADPGK_68023	0.0	0.0	149.0
ADPGK_68025	0.0	0.0	2.0
AEN_68135	0.0	0.0	2.0
AFG3L2_50088	0.0	2.0	0.0
AFTPH-DT_21291	2.0	0.0	3.0
AFTPH-DT_71348	0.0	0.0	2.0
AGTPBP1_37342	15.0	10.0	9.0
AGTPBP1_37344	8.0	0.0	0.0
AGTPBP1_37351	2.0	0.0	0.0
AGTPBP1_61258	0.0	2.0	0.0
AGTPBP1_61259	0.0	3.0	0.0
AGTPBP1_61262	0.0	3.0	2.0
AHR_33842	9.0	9.0	4.0
AHR_59315	0.0	2.0	0.0
AK3_78014	0.0	0.0	2.0
AKNA_37732	3.0	8.0	7.0
AKNA_37736	3.0	2.0	0.0
AKNA_37741	3.0	6.0	3.0
AKNA_37742	2.0	0.0	0.0
AKNA_61488	0.0	2.0	0.0
AKNA_61491	0.0	2.0	2.0
AKNA_61495	0.0	2.0	3.0
AKNA_61499	0.0	2.0	0.0
AKNA_78378	0.0	0.0	2.0
AKT2_20449	3.0	2.0	2.0
AKT2_70972	0.0	0.0	2.0
ALAD_37712	2.0	0.0	0.0
ALDOA_14455	4.0	0.0	0.0
ALDOA_48082	0.0	2.0	0.0
ALKBH5_48991	0.0	6.0	3.0
ANAPC16_42349	0.0	4.0	0.0
ANAPC16_4684	3.0	2.0	0.0
ANAPC1_21825	2.0	0.0	0.0
ANAPC1_71575	0.0	0.0	4.0
ANAPC1_71584	0.0	0.0	2.0
ANKFY1_15584	2.0	0.0	2.0
ANKFY1_48750	0.0	4.0	5.0
ANKLE2_66676	0.0	0.0	56.0
ANKLE2_66679	0.0	0.0	2.0
ANKRD28_26114	2.0	0.0	0.0
ANKRD28_26115	32.0	2.0	0.0
ANKRD28_54797	0.0	4.0	0.0
ANKRD28_54799	0.0	2.0	0.0
ANKZF1_52981	0.0	2.0	0.0
ANO9_64942	0.0	0.0	2.0
ANXA11_4846	2.0	0.0	0.0
ANXA11_64581	0.0	0.0	2.0
ANXA7_4737	3.0	0.0	0.0
AP1B1_25185	6.0	6.0	0.0
AP1B1_54263	0.0	40.0	36.0
AP1B1_54266	0.0	2.0	0.0
AP1B1_73063	0.0	0.0	3.0
AP1B1_73064	0.0	0.0	4.0
AP2A2_42876	0.0	2.0	0.0
AP3M1_42406	0.0	2.0	0.0
AP3S2_13523	6.0	0.0	13.0
AP3S2_47599	0.0	2.0	0.0
AP5M1_11392	3.0	2.0	0.0
AP5Z1_33765	2.0	0.0	0.0
AP5Z1_33768	3.0	0.0	0.0
APAF1_9271	3.0	0.0	0.0
APOBEC3C_54461	0.0	2.0	0.0
APOBEC3C_54462	0.0	2.0	0.0
APOBEC3D_25528	2.0	0.0	0.0
APOBEC3D_54464	0.0	7.0	2.0
APOBEC3F_54467	0.0	5.0	2.0
APOBEC3F_73200	0.0	0.0	2.0
APOBEC3F_73202	0.0	0.0	2.0
APOBEC3G_25541	4.0	0.0	0.0
APOL1_25357	2.0	0.0	0.0
APOL1_25358	126.0	153.0	38.0
APOL1_25359	5.0	0.0	0.0
APOL1_25360	4.0	0.0	5.0
APOL1_25361	8.0	2.0	0.0
APOL1_25363	4.0	0.0	0.0
APOL1_54350	0.0	2.0	0.0
APOL1_54352	0.0	3.0	0.0
APOL1_73127	0.0	0.0	2.0
APOL6_54347	0.0	2.0	0.0
ARAP1_43645	0.0	2.0	0.0
ARF3_44493	0.0	3.0	0.0
ARF3_44499	0.0	2.0	0.0
ARF3_8455	2.0	8.0	7.0
