	E1	E3
10000_133181494_133202449	2.0	0.0
10000_133181494_133205038	5.0	0.0
10000_133181503_133205038	0.0	6.0
10000_133181503_133205143	38.0	0.0
10000_133181507_133205143	0.0	46.0
10000_133181513_133204599	2.0	0.0
10001_133181479_133206086	0.0	3.0
10001_133181496_133202448	2.0	0.0
10001_133181503_133205143	36.0	0.0
10001_133181511_133205143	0.0	84.0
10001_133181513_133205036	2.0	25.0
10002_133181494_133205036	2.0	0.0
10002_133181494_133205144	0.0	9.0
10002_133181510_133205144	4.0	0.0
10002_133181513_133205038	0.0	2.0
10003_133181494_133205143	0.0	6.0
10003_133181498_133205145	8.0	0.0
10004_133181494_133205143	0.0	10.0
10004_133181501_133205144	5.0	0.0
10005_19633668_19650048	7.0	0.0
10005_19633668_19650050	0.0	2.0
10006_19633661_19648197	0.0	2.0
10006_19633661_19648204	2.0	0.0
10006_19633661_19648385	6.0	0.0
10006_19633674_19647292	4.0	0.0
10007_19633663_19671994	2.0	0.0
10008_19633663_19673456	2.0	0.0
10009_19674753_19782945	0.0	5.0
10009_19674755_19782942	10.0	0.0
1000_30932862_31065717	4.0	0.0
10010_19675387_19782941	0.0	4.0
10010_19675389_19782970	5.0	0.0
10011_19700523_19782950	0.0	2.0
10011_19702507_19782942	0.0	9.0
10011_19702507_19782945	7.0	0.0
10011_19702870_19783019	96.0	0.0
10012_19702870_19783008	0.0	99.0
10012_19702871_19782991	13.0	0.0
10013_19726879_19782945	2.0	0.0
10014_19741567_19782945	2.0	0.0
10015_19823483_19863618	2.0	0.0
10016_19863765_19865724	2.0	0.0
10016_19863839_19865042	3.0	0.0
10016_19863865_19865042	0.0	2.0
10017_19958683_20086695	3.0	0.0
10018_19958729_20086481	9.0	0.0
10018_19958735_20086692	16.0	0.0
10018_19958735_20086745	0.0	38.0
10018_19958744_20086481	0.0	14.0
10019_19958694_20086294	3.0	0.0
10019_19958724_20086748	0.0	62.0
10019_19958729_20086481	0.0	20.0
10019_19958729_20086722	40.0	0.0
10019_19958735_20086481	29.0	0.0
1001_30932862_31065709	4.0	0.0
10020_19958728_20086692	0.0	47.0
10020_19958729_20086481	0.0	24.0
10020_19958735_20086481	16.0	0.0
10020_19958735_20086745	25.0	0.0
10021_19958735_20037075	2.0	0.0
10022_19958859_20086695	3.0	0.0
10023_19958865_20086481	2.0	0.0
10024_19958993_20086481	6.0	0.0
10024_19958998_20086481	0.0	7.0
10024_19958998_20086692	3.0	9.0
10025_19958998_20086692	3.0	7.0
10025_19959008_20086481	0.0	3.0
